Facies,Well Name,Depth,GR,ILD,ILD_log10,NPHI,RHOB,PORD,PORDIFF,BVW
6,AMMY220,970,6.4491,172,2.23552844690755,0.0059,2.8952,-0.1150311,0.1209311,0
6,AMMY220,970.5,5.532,1681,3.22556771343947,0.0059,2.9069,-0.1222981,0.1281981,0
6,AMMY220,971,5.3231,2000,3.30102999566398,0.0094,2.93,-0.136646,0.146046,0
6,AMMY220,971.5,6.9531,2000,3.30102999566398,0.0153,2.9085,-0.1232919,0.1385919,0
6,AMMY220,972,8.5964,2000,3.30102999566398,0.0356,2.8776,-0.1040993,0.1396993,0
6,AMMY220,972.5,11.3266,1180,3.07188200730613,0.0741,2.7975,-0.0543478,0.1284478,0
6,AMMY220,973,15.1393,284.25,2.45370047335977,0.125,2.7057,0.0026709,0.1223291,0.009378205989493
4,AMMY220,973.5,21.326,196.125,2.29253295659499,0.1497,2.6099,0.0621739,0.0875261,0.011290249153145
6,AMMY220,974,25.0411,199,2.29885307640971,0.1561,2.5612,0.0924224,0.0636776,0.011208395991556
4,AMMY220,974.5,25.6567,125.812,2.09972206627011,0.1517,2.5277,0.1132298,0.0384702,0.014096424551402
2,AMMY220,975,23.4552,129.375,2.11185036280099,0.1482,2.5042,0.1278261,0.0203739,0.013900960937138
1,AMMY220,975.5,23.5124,107.938,2.0331743666937,0.1764,2.4319,0.1727329,0.0036671,0.015218884496892
1,AMMY220,976,23.5019,105.875,2.02479342333876,0.2114,2.3687,0.2119876,-0.0005876,0.015366440995064
1,AMMY220,976.5,23.2858,91,1.95904139232109,0.245,2.323,0.2403727,0.0046273,0.016574838603295
1,AMMY220,977,20.6971,77.625,1.89000161318464,0.2509,2.3309,0.2354659,0.0154341,0.017946063401939
1,AMMY220,977.5,19.6743,84.25,1.92556990954338,0.2485,2.343,0.2279503,0.0205497,0.017226024063739
1,AMMY220,978,19.6113,77.188,1.88754978817426,0.2628,2.3373,0.2314906,0.0313094,0.017996792537522
1,AMMY220,978.5,20.6486,90.062,1.95454158707861,0.2781,2.3142,0.2458386,0.0322615,0.016660928890274
1,AMMY220,979,19.1884,94.312,1.97456695469086,0.2831,2.2849,0.2640373,0.0190627,0.016281204338918
1,AMMY220,979.5,16.284,101.688,2.0072697057126,0.2821,2.283,0.2652174,0.0168826,0.01567960621753
1,AMMY220,980,14.1017,103.25,2.01389006032844,0.2762,2.2888,0.2616149,0.0145851,0.015560551102237
1,AMMY220,980.5,14.7307,92.125,1.96437750086711,0.2737,2.3223,0.2408075,0.0328925,0.016473324516446
1,AMMY220,981,17.164,109.25,2.03842144564246,0.2593,2.3555,0.2201864,0.0391136,0.015127225520401
1,AMMY220,981.5,19.7513,105.5,2.02325245963371,0.2519,2.375,0.2080745,0.0438254,0.015393726795177
1,AMMY220,982,21.2815,176.875,2.24766645286837,0.2579,2.3633,0.2153416,0.0425584,0.011888765965555
1,AMMY220,982.5,21.6601,191.375,2.28188520370632,0.2668,2.334,0.2335403,0.0332597,0.011429504487432
1,AMMY220,983,21.8652,275.5,2.4401216031878,0.2692,2.334,0.2335403,0.0356597,0.009525969852639
1,AMMY220,983.5,19.2464,335.25,2.52536878652364,0.2796,2.3125,0.2468944,0.0327056,0.008635462669181
1,AMMY220,984,16.8327,232.375,2.36618940277995,0.2949,2.291,0.2602485,0.0346515,0.010372305576358
1,AMMY220,984.5,14.6872,219.75,2.34192888374581,0.3097,2.2734,0.2711801,0.0385199,0.010666097823285
1,AMMY220,985,15.1423,136.875,2.13632413218419,0.2949,2.2877,0.2622982,0.0326018,0.01351474756799
1,AMMY220,985.5,16.5515,139.375,2.14418488039224,0.286,2.308,0.2496894,0.0363106,0.013392990603649
1,AMMY220,986,17.3839,118.875,2.07509052994547,0.2584,2.3073,0.2501242,0.0082758,0.014501894433699
1,AMMY220,986.5,19.6031,98.688,1.99426434769883,0.2722,2.3048,0.251677,0.020523,0.015916142928074
1,AMMY220,987,20.0311,96.75,1.98565097369095,0.2796,2.3055,0.2512422,0.0283578,0.016074760739014
1,AMMY220,987.5,19.1861,79.688,1.90139292709048,0.2935,2.2882,0.2619876,0.0315124,0.017712242143071
1,AMMY220,988,19.0256,82.938,1.91875355840398,0.2831,2.2804,0.2668323,0.0162677,0.017361739078887
1,AMMY220,988.5,18.0833,71.812,1.85619702221343,0.2881,2.2824,0.2655901,0.0225099,0.018658275149355
1,AMMY220,989,19.0151,74,1.86923171973098,0.2826,2.2959,0.2572049,0.0253951,0.018380365552345
1,AMMY220,989.5,17.0888,85,1.92941892571429,0.2876,2.3031,0.2527328,0.0348672,0.017149858514251
1,AMMY220,990,17.7566,86.75,1.93826948346291,0.2831,2.3206,0.2418633,0.0412367,0.016975995936626
1,AMMY220,990.5,16.1573,108.062,2.03367300115363,0.2703,2.3398,0.229938,0.040362,0.015210150236202
